carrier,origin,destination,market_type,announce_date,launch_date,end_date,status,initial_weekly_freq,confidence,source,notes
Y9,YYC,YVR,domestic,2021-11,2022-04-07,2024-02-26,ceased,,high,wikipedia_lynx,"Inaugural Lynx flight; ceased with carrier shutdown"
Y9,YYC,YYZ,domestic,2021-11,2022-04-11,2024-02-26,ceased,,high,wikipedia_lynx,"Toronto network entry; ceased with shutdown"
Y9,YYC,YLW,domestic,,2022-04-15,2024-02-26,ceased,,low,wikipedia_lynx,"Kelowna entry date verified; route pair unverified, could be YLW-YYZ"
Y9,YYC,YWG,domestic,,2022-04-19,2024-02-26,ceased,,low,wikipedia_lynx,"Winnipeg entry date verified; route pair unverified, could be YWG-YYZ"
Y9,YYC,YYJ,domestic,,2022-05-12,2023-01-14,ceased,,medium,wikipedia_lynx,"Victoria cut Jan 2023, 13 months before shutdown; pre-shutdown route failure, strong negative sample"
Y9,YYT,YYZ,domestic,,2022-06-28,2024-02-26,ceased,,low,wikipedia_lynx,"St. Johns entry date verified; pair unverified, could be YYT-YHM"
Y9,YHZ,YHM,domestic,,2022-06-29,2024-02-26,ceased,2.5,high,aviationweek_lynx_yhz,"5x weekly Halifax-GTA alternating YHM/YYZ"
Y9,YHZ,YYZ,domestic,,2022-06-30,2024-02-26,ceased,2.5,high,aviationweek_lynx_yhz,"Other half of alternating Halifax-GTA service"
Y9,YYC,YHM,domestic,,2022-07,2024-02-26,ceased,,medium,aviationweek_lynx_yhz,"Implied by YYC-YHZ through-flights via YHM from Jul 14 2022; verify standalone start"
Y9,YEG,YYZ,domestic,,2022-07-14,2024-02-26,ceased,,low,wikipedia_lynx,"Edmonton entry date verified; pair unverified, could be YEG-YHM"
Y9,YUL,YYC,domestic,,2023-06-05,2024-02-26,ceased,,low,wikipedia_lynx,"Montreal entry date verified; route pair unverified"
Y9,YFC,YYZ,domestic,,2023-06-12,2024-02-26,ceased,,low,wikipedia_lynx,"Fredericton entry date verified; route pair unverified"
Y9,YYZ,MCO,transborder,,2023-01-27,2024-02-26,ceased,4,high,simpleflying_lynx_us,"First Lynx US route"
Y9,YYC,PHX,transborder,,2023-02-07,2024-02-26,ceased,3,high,simpleflying_lynx_us,
Y9,YYC,LAX,transborder,,2023-02-16,2024-02-26,ceased,3,high,simpleflying_lynx_us,
Y9,YYC,LAS,transborder,,2023-02-24,2024-02-26,ceased,4,high,simpleflying_lynx_us,"Head-to-head with WestJet and Flair at YYC"
Y9,YYZ,LAX,transborder,2023-07-06,2023-08-24,2024-02-26,ceased,5,high,globenewswire_2023-07-06,
Y9,YUL,LAS,transborder,2023-07-06,2023-08-31,2024-02-26,ceased,4,high,globenewswire_2023-07-06,"Only Lynx YUL transborder route"
Y9,YYZ,PHX,transborder,2023-07-06,2023-10-12,2024-02-26,ceased,3,high,globenewswire_2023-07-06,
Y9,YYZ,TPA,transborder,,2023-11-16,2024-02-26,ceased,,medium,wikipedia_lynx,"TPA entry date verified; origin presumed YYZ, verify"
Y9,YYZ,RSW,transborder,,2023-12-14,2024-02-26,ceased,,medium,wikipedia_lynx,"RSW entry date verified; origin presumed YYZ, verify"
Y9,YYC,CUN,international,,2024-02-15,2024-02-26,ceased,,low,wikipedia_lynx,"Operated 11 days before shutdown; origin unverified; outside transborder model scope"
Y9,YYZ,BOS,transborder,2023-12-20,,,never_launched,4,high,globenewswire_2023-12-20,"Planned start 2024-03-28 rising to 6x; shutdown Feb 26 2024 preempted launch"
Y9,YYZ,SFO,transborder,2023-12-20,,,never_launched,4,high,globenewswire_2023-12-20,"Planned start 2024-05-03 rising to daily; never launched"
WS,YYC,DTW,transborder,2023-02,2023-05-26,,seasonal,5,high,thriftytraveler_westjet,"Summer seasonal; first YYC-DTW nonstop since 2005; verify 2024/25 renewal"
WS,YEG,MSP,transborder,2023-02,2023-06-02,,seasonal,5,high,thriftytraveler_westjet,"Delta hub feed; verify renewal"
WS,YXE,MSP,transborder,2023-02,2023-06-19,,unknown,3,high,thriftytraveler_westjet,"Thin secondary-city Delta feed experiment; verify whether renewed after 2023"
WS,YYC,IAD,transborder,2023-02,2023-06-02,,unknown,3,high,thriftytraveler_westjet,"Summer seasonal up to 3x; verify whether renewed; strong post-mortem candidate"
WS,YVR,DTW,transborder,2023-11-07,2024-04-28,,operating,7,high,westjet_mediaroom_2023-11-07,"Daily"
WS,YEG,ATL,transborder,2023-11-07,2024-04-29,,operating,7,high,westjet_mediaroom_2023-11-07,"Daily year-round; Delta JV-adjacent"
WS,YEG,BNA,transborder,2023-11-07,2024-05-02,,seasonal,2,high,westjet_mediaroom_2023-11-07,"Summer seasonal 2x weekly"
WS,YEG,SFO,transborder,2023-11-07,2024-06-20,,seasonal,5,high,westjet_mediaroom_2023-11-07,"Summer seasonal"
WS,YEG,SLC,transborder,2024-11,2025-05-15,,operating,5,high,aviationa2z_2024-11-16,"New destination for WS"
WS,YYC,RDU,transborder,2024-11,2025-06-09,,operating,3,high,aviationa2z_2024-11-16,"New destination for WS"
WS,YVR,BOS,transborder,2024-11,2025-06-09,,seasonal,7,high,aviationa2z_2024-11-16,"New route to existing destination"
WS,YVR,TPA,transborder,2024-11,2025-06-14,,operating,1,medium,aviationa2z_2024-11-16,"1x weekly per source; verify frequency, unusually thin"
WS,YEG,ORD,transborder,2024-11,2025,,unknown,,low,aviationa2z_2024-11-16,"Announced Nov 2024 start TBA; verify actual launch date and status"
WS,YYC,AUS,transborder,,2022,,operating,3,low,memory,"Believed spring 2022 launch; verify date via WestJet mediaroom archive"
PD,YYZ,TPA,transborder,2023,2023-11-01,,operating,7,high,websearch_porter,"US debut of E195-E2; daily"
PD,YYZ,MCO,transborder,2023,2023-11,,operating,7,medium,websearch_porter,"November 2023; pin exact day"
PD,YOW,MCO,transborder,2023,2023-11,,operating,7,medium,websearch_porter,"Launched alongside YYZ-MCO; pin exact day"
PD,YYZ,RSW,transborder,2023,2023-11,,operating,7,medium,websearch_porter,"November 2023; pin exact day"
PD,YYZ,FLL,transborder,2023,,,operating,7,low,websearch_porter,"Launched between Nov 2023 and mid-Jan 2024; pin exact date"
PD,YYZ,MIA,transborder,2023,,,operating,7,low,websearch_porter,"Launched between Nov 2023 and mid-Jan 2024; pin exact date"
PD,YYZ,LAX,transborder,2023-10-03,2024-01-16,,operating,7,high,newswire_porter_lax,"Daily; longest PD transborder at launch"
PD,YYZ,SFO,transborder,2023-10-03,2024-01,,operating,7,medium,websearch_porter,"January 2024; pin exact day"
PD,YYZ,PHX,transborder,,2024-10,,operating,,medium,openjaw_2024-10-04,"Inaugural Oct 3 or 4 2024; pin day"
PD,YYZ,PBI,transborder,2024-10-24,,,operating,,low,businesswire_2024-10-24,"Winter 2024-25 launch; pin date"
PD,YYZ,SAN,transborder,2024-10-24,,,operating,,low,businesswire_2024-10-24,"Winter 2024-25 launch; pin date"
PD,YYZ,PSP,transborder,2024-10-24,,,operating,,low,businesswire_2024-10-24,"Winter 2024-25 launch; pin date"
PD,YYZ,MDW,transborder,,2024,,operating,,low,wikipedia_porter,"Launch date unverified; scheduled to end 2026-08-31, replaced by YYZ-ORD 2026-09-01"
AC,YVR,TPA,transborder,2024-12,2025-06-03,,operating,2,high,aircanada_media_yvr,"Year-round 2x weekly"
AC,YVR,RDU,transborder,2024-12,2025-06-04,,seasonal,3,high,aircanada_media_yvr,"Seasonal 3x weekly"
AC,YVR,BNA,transborder,2024-12,2025-06,,operating,,medium,aircanada_media_yvr,"June 2025; pin exact day and frequency"
F8,YUL,FLL,transborder,2021-10,2021-12-15,,unknown,,medium,openjaw_2021-12-17,"Pre-window launch; include at 2021 vintage or drop"
F8,YVR,LAS,transborder,2021-10,2021-12-15,,unknown,,medium,openjaw_2021-12-17,"Pre-window launch"
F8,YXX,LAS,transborder,2021-10,2021-12-16,,unknown,,medium,openjaw_2021-12-17,"Pre-window launch"
F8,YYC,LAS,transborder,2021-10,2021-12-16,2025-04-07,ceased,,high,airlinegeeks_2025-03-06,"Pre-window launch; cut Apr 2025 citing WestJet competition; full lifecycle observable in T-100"
F8,YEG,LAS,transborder,2021-10,2021-12-16,2025-04-07,ceased,,high,airlinegeeks_2025-03-06,"Pre-window launch; cut Apr 2025"
F8,YEG,BUR,transborder,2021-10,2021-12-16,,ceased,,medium,openjaw_2021-12-17,"BUR terminated per Wikipedia; end date TBD"
F8,YKF,FLL,transborder,2021-10,2021-12-16,,unknown,,medium,openjaw_2021-12-17,"Pre-window launch"
F8,YUL,SFB,transborder,2021-10,2021-12-16,,ceased,,medium,openjaw_2021-12-17,"Orlando-Sanford terminated; Flair later shifted to MCO; end date TBD"
F8,YYC,AZA,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Phoenix-Mesa terminated; Flair later served PHX Sky Harbor; end date TBD"
F8,YEG,AZA,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Mesa terminated; end date TBD"
F8,YEG,PSP,transborder,2021-10,2021-12-17,,unknown,,medium,openjaw_2021-12-17,"PSP still a Flair destination; verify which origins survive"
F8,YHZ,SFB,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Sanford terminated; end date TBD"
F8,YOW,SFB,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Sanford terminated; end date TBD"
F8,YKF,SFB,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Sanford terminated; end date TBD"
F8,YVR,AZA,transborder,2021-10,2021-12-17,,ceased,,medium,openjaw_2021-12-17,"Mesa terminated; end date TBD"
F8,YVR,PSP,transborder,2021-10,2021-12-17,,unknown,,medium,openjaw_2021-12-17,"Verify current status"
F8,YYZ,PSP,transborder,2021-10,2021-12-18,,unknown,,medium,openjaw_2021-12-17,"Verify current status"
F8,YYZ,BNA,transborder,,2022,2025-03-06,ceased,,medium,airlinegeeks_2025-03-06,"Spring 2022 launch believed; end date verified; WS and AC competition cited; in-window launch"
F8,YYZ,SFO,transborder,,2022,,unknown,,low,globeandmail_flair,"Spring 2022 SFO launch; origin presumed YYZ, verify; SFO still listed as Flair destination"
F8,YYZ,DEN,transborder,,2022,,ceased,,low,globeandmail_flair,"Spring 2022 DEN launch; origin unverified; DEN terminated per Wikipedia; end date TBD"
